dp,depto_nom,anio,pib_miles_millones,pob_total,pib_pc,ln_pib_pc,expulsados_total,recibidos_total,eventos_total,expulsados_adol,tasa_expulsion,tasa_expul_adol,ln_expulsados,ln_expul_adol,expul_acum,cuartil_conflicto,alta_intensidad
13,Bolívar,2002,15089.523841795793,1725647,8744270.31820285,15.983909223068215,67601,49911,68537,6182,39.1742923089137,3.582424447178363,11.12139284739222,8.729558869558568,729421,4,1
13,Bolívar,2003,17218.602860749284,1751313,9831824.956903355,16.101135126662626,34208,25697,34645,3428,19.532773410578233,1.9573885421966262,10.440244046325468,8.14002395246292,729421,4,1
13,Bolívar,2004,18125.702514090877,1776177,10204896.535700485,16.138378215585806,32447,25517,32873,3168,18.267886590131504,1.783606025750812,10.387394086950856,8.06117135969092,729421,4,1
13,Bolívar,2005,18885.5224524476,1799794,10493157.801641522,16.166233964780567,43978,32456,44482,4648,24.435018674359398,2.5825177770344827,10.691467526242246,8.444407421690585,729421,4,1
13,Bolívar,2006,20196.091190416926,1823338,11076438.482835835,16.220330751044443,42746,30299,43328,4442,23.443815683104283,2.4361912053607173,10.663054296463898,8.399085102935908,729421,4,1
13,Bolívar,2007,21861.25103714419,1845963,11842735.221206596,16.287225176044817,33345,21087,33630,3741,18.06374233936433,2.0265844981724985,10.414693104120404,8.227375506834035,729421,4,1
13,Bolívar,2008,22152.0157463257,1867503,11861836.766166212,16.288836810214317,21359,12856,21509,2731,11.437197155774316,1.4623805155868559,9.969275293074132,7.912789220690681,729421,4,1
13,Bolívar,2009,22106.628084404685,1888156,11708051.709924754,16.275787343415928,9963,6905,10006,1484,5.276576723533437,0.785952008202712,9.20673387638207,7.3031700512368,729421,4,1
13,Bolívar,2010,23076.789357966394,1907930,12095197.076395042,16.308318995931966,7961,6018,7978,1190,4.172584948085097,0.6237126100014152,8.982435503560263,7.0825485693553,729421,4,1
13,Bolívar,2011,25158.94834859299,1926597,13058749.883132273,16.384968956184473,8373,6140,8432,1341,4.346004898793054,0.696045929688461,9.032886946579088,7.201916317531627,729421,4,1
13,Bolívar,2012,25784.44706444199,1944299,13261564.741041366,16.400380540363415,6473,4507,6517,1099,3.3292204542614074,0.5652422801225532,8.775549434486189,7.003065458786462,729421,4,1
13,Bolívar,2013,28346.01323410931,1961250,14453034.153784223,16.486414926521263,9608,7671,9639,1656,4.898916507329509,0.8443594646271511,9.170455438277267,7.4127640174265625,729421,4,1
13,Bolívar,2014,27792.85110444693,1977478,14054695.478001237,16.458467095634916,10175,7176,10199,1672,5.14544283172809,0.8455214166731564,9.227787285579904,7.422373700986824,729421,4,1
13,Bolívar,2015,28105.21128828678,1993760,14096586.995569568,16.461443268996057,7666,6152,7728,1233,3.8449963887328464,0.6184295000401252,8.944680683558895,7.1180162044653335,729421,4,1
13,Bolívar,2016,29284.661306104183,2013010,14547697.878353402,16.492943317644436,5538,3977,5574,817,2.751104068037417,0.4058598814710309,8.619569258033104,6.706862336602747,729421,4,1
13,Bolívar,2017,30271.190343724826,2035711,14870082.415296093,16.51486186080807,8030,5161,8066,1129,3.9445677701795585,0.5545973863677114,8.991064332188461,7.029972911706386,729421,4,1
13,Bolívar,2018,30804.08827574953,2070083,14880605.403623687,16.515569272268976,9161,6196,9216,1195,4.425426420100064,0.577271539353736,9.122819774446688,7.086737934510577,729421,4,1
13,Bolívar,2019,31919.755993308096,2108412,15139240.335052207,16.53280062869439,5640,3323,5673,728,2.6749990039897327,0.345283559380235,8.637816633739977,6.591673732008658,729421,4,1
13,Bolívar,2020,28575.604208203164,2151461,13281953.150999792,16.40191676582163,4546,2613,4574,546,2.1129827591576142,0.25378103530577595,8.42222295382501,6.304448802421981,729421,4,1
13,Bolívar,2021,32660.56437121709,2177352,15000130.604154537,16.523569465972216,16302,8318,16430,1957,7.487076044663426,0.8987981731938612,9.699104418939655,7.579678823090456,729421,4,1
13,Bolívar,2022,35424.40371121257,2195275,16136658.829172915,16.59660418755293,20200,13290,20543,2533,9.201580667570122,1.1538417738096594,9.913487387114461,7.837554360881084,729421,4,1
15,Boyacá,1993,12829.00062083734,1082183,11854742.33178431,16.28823854226309,489,331,496,34,0.45186442588730374,0.03141797644206202,6.194405391104672,3.5553480614894135,35384,1,0
15,Boyacá,1994,12066.278856974508,1087619,11094214.846351992,16.22193434540511,510,282,517,53,0.46891420616962376,0.04873029985684325,6.236369590203704,3.9889840465642745,35384,1,0
15,Boyacá,1995,12149.076324811438,1093151,11113813.484881263,16.223699350683816,394,402,398,36,0.360425961280738,0.03293232133529586,5.978885764901122,3.6109179126442243,35384,1,0
15,Boyacá,1996,12033.187619215467,1098694,10952264.797309775,16.209056823644787,412,490,412,47,0.374990670741808,0.04277806195355577,6.023447592961033,3.871201010907891,35384,1,0
15,Boyacá,1997,12237.308912342303,1104195,11082561.424696093,16.22088338808056,521,559,524,45,0.47183694908960827,0.04075367122654966,6.257667587882639,3.828641396489095,35384,1,0
15,Boyacá,1998,11848.341753101462,1109616,10677875.727370067,16.183684469781067,830,839,833,73,0.7480065175700422,0.06578852503929287,6.7226297948554485,4.30406509320417,35384,1,0
15,Boyacá,1999,11897.00222605853,1114865,10671249.18807078,16.18306369122098,1241,1084,1261,83,1.113139259013423,0.07444847582442717,7.124478262493424,4.430816798843313,35384,1,0
15,Boyacá,2000,12100.790437525546,1119904,10805203.336648092,16.195538366501083,1341,2243,1357,131,1.1974240649198502,0.1169743120838929,7.201916317531627,4.882801922586371,35384,1,0
15,Boyacá,2001,12239.827856450816,1124702,10882729.697689535,16.20268765925586,2713,3746,2748,272,2.412194519081499,0.2418418389937957,7.906178840394815,5.60947179518496,35384,1,0
15,Boyacá,2002,12393.73426145968,1129250,10975190.844772795,16.21114790581968,3198,3326,3228,303,2.831968120433916,0.2683196812043392,8.070593539949519,5.717027701406222,35384,1,0
15,Boyacá,2003,12804.313518505143,1133618,11295086.632803239,16.239878377868393,2663,3077,2702,251,2.3491158397273155,0.22141497400358853,7.88758403166028,5.529429087511423,35384,1,0
15,Boyacá,2004,12681.876914735674,1137797,11145992.575772017,16.226590581022396,2895,2928,2936,324,2.54439060746337,0.2847608140995274,7.971085753505607,5.783825182329737,35384,1,0
15,Boyacá,2005,13069.08114198407,1140665,11457422.768283475,16.25414835462993,2606,2335,2629,256,2.28463221015811,0.2244304857254321,7.865955413933502,5.54907608489522,35384,1,0
15,Boyacá,2006,13693.987326619703,1145225,11957464.538950602,16.296866288941608,2741,2050,2762,263,2.3934161409330046,0.22964919557292235,7.91644286012226,5.575949103146316,35384,1,0
15,Boyacá,2007,15466.802713727504,1149909,13450458.00470081,16.414523715826466,2790,1939,2813,279,2.42627894902988,0.24262789490298797,7.934155233536322,5.634789603169249,35384,1,0
15,Boyacá,2008,16572.751788694164,1154747,14351846.585177675,16.479389173785012,2228,2136,2235,239,1.9294269653872234,0.20697174359405135,7.709308333385869,5.480638923341991,35384,1,0
15,Boyacá,2009,16725.606538892807,1159850,14420491.045301381,16.484160742313502,1390,1340,1394,167,1.198430831573048,0.14398413587963962,7.237778191923443,5.123963979403259,35384,1,0
15,Boyacá,2010,17346.016995581424,1165204,14886678.208778398,16.515977291040056,590,882,592,71,0.5063491028180472,0.060933536101832816,6.3818160174060985,4.276666119016055,35384,1,0
15,Boyacá,2011,18968.974784455262,1170640,16203935.269985018,16.600764688603146,636,894,637,96,0.5432925579170368,0.08200642383653386,6.456769655572163,4.574710978503383,35384,1,0
15,Boyacá,2012,19556.4165695324,1176069,16628630.267044198,16.626636482596165,743,821,746,97,0.6317656532057218,0.08247815391783984,6.612041034833092,4.584967478670572,35384,1,0
15,Boyacá,2013,20127.374018803806,1181580,17034288.0031854,16.65073881208898,1002,794,1004,158,0.8480170619001676,0.13371925726569509,6.910750787961936,5.0689042022202315,35384,1,0
15,Boyacá,2014,20986.058056684422,1187249,17676206.13425189,16.68773000698033,800,837,800,131,0.6738266361984723,0.11033911167749984,6.68586094706836,4.882801922586371,35384,1,0
15,Boyacá,2015,22164.683372837735,1193206,18575739.120351166,16.737366938912448,612,797,612,91,0.5129038908620976,0.07626512102688052,6.418364935936212,4.5217885770490405,35384,1,0
15,Boyacá,2016,22341.244463173196,1199978,18618045.050136916,16.739641832364363,617,759,624,106,0.5141760932283759,0.08833495280746814,6.42648845745769,4.672828834461906,35384,1,0
15,Boyacá,2017,22574.436274817897,1207665,18692631.048194572,16.74363994256827,334,541,341,39,0.27656676313381606,0.03229372383897853,5.814130531825066,3.6888794541139363,35384,1,0
